gc,length,umap_1,umap_2
42.1,1000,8.165667,9.630081
46.3,1000,7.3927526,9.849337
47.1,1000,8.296136,9.698871
43.8,1000,7.5628166,9.644499
39.9,1000,9.301955,10.997386
39.6,1000,8.535269,9.768026
41.0,1000,8.673652,10.098304
43.3,1000,8.847069,9.958425
43.2,1000,8.443839,11.479067
43.6,1000,9.216111,10.271288
41.5,1000,9.1998825,11.418224
39.4,1000,7.94537,10.267288
41.7,1000,7.967,10.790154
41.6,1000,8.642878,11.977636
41.5,1000,9.055501,11.018318
43.4,1000,7.778354,10.252207
43.0,1000,8.086405,10.358541
38.5,1000,8.735411,11.642795
36.9,1000,8.778682,10.570063
36.0,1000,8.259059,11.090862
35.7,1000,8.6091795,11.585383
38.3,1000,8.345506,10.85235
39.6,1000,8.382154,10.633028
39.9,1000,7.895188,10.75527
45.6,1000,7.9658594,10.864607
43.9,1000,8.180452,10.764283
43.8,1000,7.978032,11.416247
45.0,1000,8.081555,10.926186
39.6,1000,7.943796,11.001963
38.0,1000,7.979332,11.245745
43.2,1000,8.068156,10.873876
49.7,1000,7.701907,10.874989
53.9,1000,7.7713265,10.761789
52.5,1000,7.7757688,10.747912
45.2,1000,7.724567,11.102093
45.0,1000,7.8009014,10.838564
44.3,1000,6.9232535,11.099239
46.8,1000,7.7796583,11.090224
47.4,1000,7.8196726,11.387433
49.5,1000,7.6930194,10.994247
49.5,1000,7.229873,10.866979
47.9,1000,7.8022327,11.202479
46.7,1000,7.7616925,11.045079
45.1,1000,7.6833634,11.235658
44.0,1000,7.277613,11.057307
45.0,1000,7.897612,11.443035
47.2,1000,7.548691,11.034877
47.1,1000,7.413568,10.904438
47.9,1000,7.267876,11.234853
48.8,1000,7.410251,11.142484
49.5,1000,7.135098,11.364749
46.1,1000,7.490628,11.377135
47.0,1000,7.370966,11.242691
48.3,1000,7.4495687,11.16836
42.8,1000,7.396079,11.710523
44.0,1000,7.289383,11.47962
46.4,1000,7.321362,11.709716
45.4,1000,7.2099104,11.816358
43.2,1000,7.4851217,11.170231
44.0,1000,7.537968,11.190858
42.9,1000,7.2428913,11.41872
41.2,1000,7.623785,11.594698
45.0,1000,7.0778527,11.555834
45.8,1000,7.7001066,11.269431
43.2,1000,7.543303,11.9471
